Pesticide name,CAS #,Pesticide type,Mode of Action-short version,Mode of Action-Classification-site target,Survey inclusion (name),"Screened in a survey (N=0, Y=1)",Number of surveys screening (N),LD50 Oral Geometric mean (ug/bee),Oral LD50 Source,LD50 Contact Geometric mean (ug/bee),Contact LD50 Source,LOAEL Lowest sublethal significant dose of the publication per effect and exposure type (all Unit Measures),LOAEL Unit measure,"LOAEL Lowest sublethal significant dose per publication per effect and exposure type (μg bee-1, or ug bee-1 per day)",LOAEL Category (μg bee-1),SubTR (LOAEL/LD50),SubTR Category,Exposure type (oral vs contact),Exposure type (acute vs chronic),Exposure duration (h),Time (after exposure) of significant effect (h),Main feed type category,Subcategory of feed type,Feed type concentration provided (%),Bee type,Genus,Species,Species details,Sublethal effect main category,Sublethal effect sub-category,Sublethal effect-details,Original reference,Reference year,Review reference
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.0001618,μg/bee,0.0001618,<0.001,0.04372973,<0.1,Oral,Acute,,4,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity,Reduction of motor activity,"Lunardi, J. S., R. Zaluski, and R. O. Orsi. ""Evaluation of Motor Changes and Toxicity of Insecticides Fipronil and Imidacloprid in Africanized Honey Bees (Hymenoptera: Apidae)."" Sociobiology 64, no. 1 (Mar 2017): 50-56.",2017, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.00021,μg/bee,0.00021,<0.001,0.056756757,<0.1,Oral,Acute,,1,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Communication,Fewer dance circuits performances ,"Eiri, D. M., and J. C. Nieh. ""A Nicotinic Acetylcholine Receptor Agonist Affects Honey Bee Sucrose Responsiveness and Decreases Waggle Dancing."" Journal of Experimental Biology 215, no. 12 (Jun 2012): 2022-29.",2012, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.00021,μg/bee,0.00021,<0.001,0.056756757,<0.1,Oral,Acute,,1,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Higher sucrose response,"Eiri, D. M., and J. C. Nieh. ""A Nicotinic Acetylcholine Receptor Agonist Affects Honey Bee Sucrose Responsiveness and Decreases Waggle Dancing."" Journal of Experimental Biology 215, no. 12 (Jun 2012): 2022-29.",2012, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.00024,μg/larva,0.00024,<0.001,0.064864865,<0.1,Oral,Chronic,144,,,,,,Apis,Apis cerana,Apis cerana,Cognitive,Learning and memory,Impaired olfactory learning when tested as adults,"Tan, Ken, Weiwen Chen, Shihao Dong, Xiwen Liu, Yuchong Wang, and James C. Nieh. 2015. “A Neonicotinoid Impairs Olfactory Learning in Asian Honey Bees (Apis Cerana) Exposed as Larvae or as Adults.” Scientific Reports 5: 10989.",2015, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.00025,μg/bee,0.00025,<0.001,0.00308642,<0.01,Contact,Acute,,0.25,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Reduced performance and decrease of % PER in testing for memory retention for 2-3 days/old bees,"Goñalons, C. M., and W. M. Farina. ""Effects of Sublethal Doses of Imidacloprid on Young Adult Honeybee Behaviour."" PLoS ONE 10, no. 10 (2015).",2015, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.00025,μg/bee,0.00025,<0.001,0.067567568,<0.1,Oral,Acute,,1,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,"Reduced PER on bees of all ages, in the training phase; reduced % of conditioned responses in memory retention tests of bees up to 6 day old","Goñalons, C. M., and W. M. Farina. ""Effects of Sublethal Doses of Imidacloprid on Young Adult Honeybee Behaviour."" PLoS ONE 10, no. 10 (2015).",2015, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.0005,μg/bee,0.0005,<0.001,0.135135135,<1,Oral,Chronic,,288,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Increase of apoptosis in brain,"Wu, Y. Y., T. Zhou, Q. Wang, P. L. Dai, S. F. Xu, H. R. Jia, and X. Wang. ""Programmed Cell Death in the Honey Bee (Apis Mellifera) (Hymenoptera: Apidae) Worker Brain Induced by Imidacloprid."" Journal of Economic Entomology 108, no. 4 (Aug 2015): 1486-94.",2015, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.000809,μg/bee,0.000809,<0.001,0.218648649,<1,Oral,Chronic,,24,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Reduction of the basal labyrinth; early vacuolization of the cytoplasm; increase of the frequency and intensity of pyknotic nuceli and loss of part of the cell into the lumen,"Rossi, C. D., T. C. Roat, D. A. Tavares, P. Cintra-Socolowski, and O. Malaspina. ""Effects of Sublethal Doses of Imidacloprid in Malpighian Tubules of Africanized Apis Mellifera (Hymenoptera, Apidae)."" Microscopy Research and Technique 76, no. 5 (May 2013): 552-58.",2013, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.000809,μg/bee,0.000809,<0.001,0.218648649,<1,Oral,Chronic,240,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Loss of the basal labyrinth in the Malpighian tubules, vacuolization of the cytoplasm, increase frequency and intensity of pyknotic nuclei and loss of part of the cell into the lumen, more strongly strained nuclei indicating higher level of chromatin compaction, positive nuclei reaction","Rossi, Caroline de Almeida, Thaisa Cristina Roat, Daiana Antonia Tavares, Priscila Cintra‐Socolowski, and Osmar Malaspina. 2013. “Effects of Sublethal Doses of Imidacloprid in Malpighian Tubules of Africanized Apis Mellifera (Hymenoptera, Apidae).” Microscopy Research and Technique 76 (5): 552–58. https://doi.org/10.1002/jemt.22199.",2013, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.00125,μg/bee,0.00125,<0.01,0.015432099,<0.1,Contact,Acute,,,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Effect on PER habituation  - negative effect on mobility,Lambin et al. 2001,2001,"Blacquiere, T., G. Smagghe, C. A. M. van Gestel, and V. Mommaerts. ""Neonicotinoids in Bees: A Review on Concentrations, Side-Effects and Risk Assessment."" Ecotoxicology 21, no. 4 (May 2012): 973-92."
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.00128,μg/bee,0.00128,<0.01,0.345945946,<1,Oral,Acute,,,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,"Decrease of the number of bees that could perform the spaced learning task, effect on bee's ability to learn the conditioned stimulus-unconditioned stimulus association during both massed and spaced conditioning","Williamson, Sally M., Daniel D. Baker, and Geraldine A. Wright. 2013. “Acute Exposure to a Sublethal Dose of Imidacloprid and Coumaphos Enhances Olfactory Learning and Memory in the Honeybee Apis Mellifera.” Invertebrate Neuroscience 13 (1): 63–70.",2013, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.0015,μg/bee,0.0015,<0.01,0.405405405,<1,Oral,Acute,,3, ,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity,Reduction of foraging activity and longer foraging flights,"Schneider, Christof W., Jürgen Tautz, Bernd Grünewald, and Stefan Fuchs. 2012. “RFID Tracking of Sublethal Effects of Two Neonicotinoid Insecticides on the Foraging Behavior of Apis Mellifera.” PloS One 7 (1): e30023.",2012, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.0015,μg/bee,0.0015,<0.01,0.405405405,<1,Oral,Chronic,96,,Carbohydrates,Sugar solution,50,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Impairment of aversive short-term learning and memory retention. ,"Zhang, E., and J. C. Nieh. ""The Neonicotinoid Imidacloprid Impairs Honey Bee Aversive Learning of Simulated Predation."" Journal of Experimental Biology 218, no. 20 (Oct 2015): 3199-205.",2015, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.002,μg/larva,0.002,<0.01,0.024691358,<0.1,Contact,Chronic,96,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,578 genes showed more than 2-fold changes in gene expression ,"Wu, M. C., Y. W. Chang, K. H. Lu, and E. C. Yang. ""Gene Expression Changes in Honey Bees Induced by Sublethal Imidacloprid Exposure During the Larval Stage."" Insect Biochemistry and Molecular Biology 88 (Sep 2017): 12-20.",2017, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.0043,μg/bee,0.0043,<0.01,1.162162162,≥1,Oral,Acute,,48,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Downregulation of carboxylesterase (CCE), prophenol oxidase (PPO), and acetylcholinesterase (AChE) activities. Elevated activity of Glutathione-S-transferase (GST).","Li, Z. G., M. Li, J. F. He, X. M. Zhao, V. Chaimanee, W. F. Huang, H. Y. Nie, Y. Z. Zhao, and S. K. Su. ""Differential PhysiologicalEffects of Neonicotinoid Insecticides on Honey Bees: A Comparison between Apis Mellifera and Apis Cerana."" Pesticide Biochemistry and Physiology 140 (Aug 2017): 1-8.",2017, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,50,ppb,,,,,Oral,Chronic,,216,Proteins,Pollen,,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Body development,"Drop in average body weight, decrease in the Vg levelof adult workers","Abbo, P. M., J. K. Kawasaki, M. Hamilton, S. C. Cook, G. DeGrandi-Hoffman, W. F. Li, J. Liu, and Y. P. Chen. ""Effects of Imidacloprid and Varroa Destructor on Survival and Health of European Honey Bees, Apis Mellifera."" Insect Science 24, no. 3 (Jun 2017): 467-77.",2017, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,30,ppb,,,,,Oral,Acute,,,,,,Larvae,Osmia,Osmia lignaria,Osmia lignaria,Physiological,Body development,Effects on larval development: greater developmental time,"Abbott VA, Nadeau JL, Higo HA and Winston ML, 2008. Lethal and sublethal effects of imidacloprid on Osmia lignaria and clothianidin on Megachile rotundata (Hymenoptera: megachilidae). Journal of Economic Entomology, 101, 784-796.",2008,"EFSA Panel on Plant Protection, and their Residues (PPR). 2012. “Scientific Opinion on the Science behind the Development of a Risk Assessment of Plant Protection Products on Bees (Apis Mellifera, Bombus Spp. and Solitary Bees).” EFSA Journal 10 (5): 2668."
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,10,μM,,,,,Injection,Acute,,,,,, ,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Decrease in intensity and number of excitation response,"Andrione, Mara, Giorgio Vallortigara, Renzo Antolini, and Albrecht Haase. 2016. “Neonicotinoid-Induced Impairment of Odour Coding in the Honeybee.” Scientific Reports 6 (December): 38110.",2016, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,100,ppb,,,,,Oral,Acute,2,,,,,Adults,Apis,Apis mellifera,Apis mellifera,Cognitive,Orientation/navigation,Homing flight: Delay of 24h to return to hive ,"Bortolotti L, Montanari R, Marcelino J, Medrzycki P, Maini S, Porrini C, 2003. Effects of sub-lethal imidacloprid doses on the homing rate and foraging activity of honey bees. Bulletin of Insectology, 56, 63-67.",2003,"EFSA Panel on Plant Protection, and their Residues (PPR). 2012. “Scientific Opinion on the Science behind the Development of a Risk Assessment of Plant Protection Products on Bees (Apis Mellifera, Bombus Spp. and Solitary Bees).” EFSA Journal 10 (5): 2668."
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,6,ppb,,,,,Oral,Chronic,96,,,,,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Decrease in the proportion of active bees at the feeder,"Colin M, Bonmatin J, Moineau I, Gaimon C, Brun S and Vermandere J, 2004. A method to quantify an analyze the foraging activity of honey bees: relevance to the sublethal effects induced by systemic insecticides. Environmental Contamination and Toxicology, 47, 387-395.",2004,"EFSA Panel on Plant Protection, and their Residues (PPR). 2012. “Scientific Opinion on the Science behind the Development of a Risk Assessment of Plant Protection Products on Bees (Apis Mellifera, Bombus Spp. and Solitary Bees).” EFSA Journal 10 (5): 2668."
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,125,ppb,,,,,Oral,Chronic,,,Carbohydrates,Sugar solution,50,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Decrease of sucrose consumption,"Collison, Elizabeth J., Heather Hird, Charles R. Tyler, and James E. Cresswell. 2018. “Effects of Neonicotinoid Exposure on Molecular and Physiological Indicators of Honey Bee Immunocompetence.” Apidologie 49 (2): 196–208. https://doi.org/10.1007/s13592-017-0541-3.",2018, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,5,ppb,,,,,Oral,Chronic,,,Carbohydrates and proteins,Sugar solution and pollen,,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Low and high consumption of protein and carbohydrate rich food, respectiveley ; higher respiration rates ","Cook, Steven C. 2019. “Compound and Dose-Dependent Effects of Two Neonicotinoid Pesticides on Honey Bee (Apis Mellifera) Metabolic Physiology.” Insects 10 (1): 18.",2019, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,10,ppm,,,,,Oral,Chronic,,,,,,Larvae,Apis,Apis mellifera,Apis mellifera,Physiological,Body development,Longer development rate,"Dai, Pingli, Cameron J. Jack, Ashley N. Mortensen, Tomas A. Bustamante, Jeffrey R. Bloomquist, and James D. Ellis. 2019. “Chronic Toxicity of Clothianidin, Imidacloprid, Chlorpyrifos, and Dimethoate to Apis Mellifera L. Larvae Reared in Vitro.” Pest Management Science 75 (1): 29–36.",2019, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,24,ppb,,,,,Oral,Acute,,,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Decreased foraging activity on the food source and on the hive entrance; reduction of sucrose consumption and brood size,"Decourtye, A., J. Devillers, S. Cluzeau, M. Charreton, and M. H. Pham-Delegue. ""Effects of Imidacloprid and Deltamethrin on Associative Learning in Honeybees under Semi-Field and Laboratory Conditions."" Ecotoxicol Environ Saf 57, no. 3 (Mar 2004): 410-9.",2004,"Blacquiere, T., G. Smagghe, C. A. M. van Gestel, and V. Mommaerts. ""Neonicotinoids in Bees: A Review on Concentrations, Side-Effects and Risk Assessment."" Ecotoxicology 21, no. 4 (May 2012): 973-92."
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,7.5,nM,,,,,Oral,Chronic,,24,Carbohydrates,Sugar solution,30,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Decrease of sucrose responsiveness,"Démares, Fabien J., Christian WW Pirk, Susan W. Nicolson, and Hannelie Human. 2018. “Neonicotinoids Decrease Sucrose Responsiveness of Honey Bees at First Contact.” Journal of Insect Physiology 108: 25–30.",2018, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.7,ppb,,,,,Oral,Acute,,,,,,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Negative effect on microbial gut community composition,"Diaz, Tsiri, Ek del-Val, Ricardo Ayala, and John Larsen. 2019. “Alterations in Honey Bee Gut Microorganisms Caused by Nosema Spp. and Pest Control Methods.” Pest Management Science 75 (3): 835–843.",2019, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.7,ppb,,,,,Oral,Chronic,672,,Carbohydrates and proteins,,,Adults,Bombus,Bombus terrestris,Bombus terrestris,Behavioural,Feeding,Reduction of worker foraging efficiency and more failure to return to the nest,"Feltham, H., Park, K. & Goulson, 2014. ""Field realistic doses of pesticide imidacloprid reduce bumblebee pollen foraging efficiency."" D. Ecotoxicology  23: 317. https://doi.org/10.1007/s10646-014-1189-7",2014, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,10,ppb,,,,,Oral,Chronic,672,,Carbohydrates,Sugar solution,,Adults,Bombus,Bombus terrestris,Bombus terrestris,Behavioural,Feeding,"Decrease of the pollen foraging performance (chronic behavioural impairment), less pollen collected, longer duration to cllect pollen, more unsuccessful pollen foraging bouts","Gill, Richard J., and Nigel E. Raine. 2014. “Chronic Impairment of Bumblebee Natural Foraging Behaviour Induced by Sublethal Pesticide Exposure.” Functional Ecology 28 (6): 1459–71. https://doi.org/10.1111/1365-2435.12292.",2014, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,2,ppb,,,,,Oral,Chronic,,,Carbohydrates,Sugar solution,33,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Decrease of acini size of the lobes pf the HPGs, increase of the inter-burst interval and decrease of the mean duration of AVM bursts- Effect on the size of the hypopharyngeal glands and on respiratory rythm","Hatjina, Fani, Chrisovalantis Papaefthimiou, Leonidas Charistos, Taylan Dogaroglu, Maria Bouga, Christina Emmanouil, and Gerard Arnold. 2013. “Sublethal Doses of Imidacloprid Decreased Size of Hypopharyngeal Glands and Respiratory Rhythm of Honeybees in Vivo.” Apidologie 44 (4): 467–480.",2013, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,1,ppb,,,,,Oral,Acute,6,,Carbohydrates,Sugar solution,35,,Bombus,Bombus terrestris,Bombus terrestris,Behavioural,Feeding,"Slower at foraging, shorter foraging periods and less number of visits (decrease of motivation)","Lämsä, Juho, Erno Kuusela, Juha Tuomi, Sini Juntunen, and Phillip C. Watts. 2018. “Low Dose of Neonicotinoid Insecticide Reduces Foraging Motivation of Bumblebees.” Proceedings of the Royal Society B: Biological Sciences 285 (1883): 20180506. https://doi.org/10.1098/rspb.2018.0506.",2018, 
Imidacloprid,138261-41-3,Insecticide,IRAC 4,IRAC 4A,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,0.0037,PPDB|OpenFoodTox|OpenFoodTox|OpenFoodTox|OpenFoodTox,0.081,PPDB| OpenFoodTox| OpenFoodTox,0.02,ppm,,,,,Oral,Chronic,1848,,Carbohydrates,Sugar solution,30, ,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Downregulation of 130 genes,"Li, Zhiguo, Tiantian Yu, Yanping Chen, Matthew Heerman, Jingfang He, Jingnan Huang, Hongyi Nie, and Songkun Su. 2019. “Brain Transcriptome of Honey Bees (Apis Mellifera) Exhibiting Impaired Olfactory Learning Induced by a Sublethal Dose of Imidacloprid.” Pesticide Biochemistry and Physiology 156: 36–43.",2019, 
